condition_id,model_name,entity,mention_count,mention_rate,responses
H1_neg,chatgpt,Player A,1,0.5,2
H1_neg,chatgpt,Player B,0,0.0,2
H1_neg,chatgpt,Player C,0,0.0,2
H1_neg,chatgpt,Player Star,0,0.0,2
H1_neg,claude,Player A,2,1.0,2
H1_neg,claude,Player B,0,0.0,2
H1_neg,claude,Player C,0,0.0,2
H1_neg,claude,Player Star,0,0.0,2
H1_neg,gemini,Player A,1,0.5,2
H1_neg,gemini,Player B,1,0.5,2
H1_neg,gemini,Player C,1,0.5,2
H1_neg,gemini,Player Star,0,0.0,2
H1_pos,chatgpt,Player A,2,1.0,2
H1_pos,chatgpt,Player B,0,0.0,2
H1_pos,chatgpt,Player C,0,0.0,2
H1_pos,chatgpt,Player Star,0,0.0,2
H1_pos,claude,Player A,2,1.0,2
H1_pos,claude,Player B,0,0.0,2
H1_pos,claude,Player C,0,0.0,2
H1_pos,claude,Player Star,0,0.0,2
H1_pos,gemini,Player A,2,1.0,2
H1_pos,gemini,Player B,1,0.5,2
H1_pos,gemini,Player C,1,0.5,2
H1_pos,gemini,Player Star,0,0.0,2
H2_anon,chatgpt,Player A,2,1.0,2
H2_anon,chatgpt,Player B,0,0.0,2
H2_anon,chatgpt,Player C,0,0.0,2
H2_anon,chatgpt,Player Star,0,0.0,2
H2_anon,claude,Player A,2,1.0,2
H2_anon,claude,Player B,0,0.0,2
H2_anon,claude,Player C,0,0.0,2
H2_anon,claude,Player Star,0,0.0,2
H2_anon,gemini,Player A,2,1.0,2
H2_anon,gemini,Player B,0,0.0,2
H2_anon,gemini,Player C,0,0.0,2
H2_anon,gemini,Player Star,0,0.0,2
H2_named,chatgpt,Player A,0,0.0,2
H2_named,chatgpt,Player B,0,0.0,2
H2_named,chatgpt,Player C,0,0.0,2
H2_named,chatgpt,Player Star,2,1.0,2
H2_named,claude,Player A,0,0.0,2
H2_named,claude,Player B,0,0.0,2
H2_named,claude,Player C,0,0.0,2
H2_named,claude,Player Star,2,1.0,2
H2_named,gemini,Player A,0,0.0,2
H2_named,gemini,Player B,0,0.0,2
H2_named,gemini,Player C,0,0.0,2
H2_named,gemini,Player Star,2,1.0,2
H3_neutral,chatgpt,Player A,2,1.0,2
H3_neutral,chatgpt,Player B,0,0.0,2
H3_neutral,chatgpt,Player C,0,0.0,2
H3_neutral,chatgpt,Player Star,0,0.0,2
H3_neutral,claude,Player A,2,1.0,2
H3_neutral,claude,Player B,0,0.0,2
H3_neutral,claude,Player C,0,0.0,2
H3_neutral,claude,Player Star,0,0.0,2
H3_neutral,gemini,Player A,1,0.5,2
H3_neutral,gemini,Player B,1,0.5,2
H3_neutral,gemini,Player C,1,0.5,2
H3_neutral,gemini,Player Star,0,0.0,2
H3_underperf,chatgpt,Player A,0,0.0,2
H3_underperf,chatgpt,Player B,0,0.0,2
H3_underperf,chatgpt,Player C,0,0.0,2
H3_underperf,chatgpt,Player Star,0,0.0,2
H3_underperf,claude,Player A,2,1.0,2
H3_underperf,claude,Player B,0,0.0,2
H3_underperf,claude,Player C,0,0.0,2
H3_underperf,claude,Player Star,0,0.0,2
H3_underperf,gemini,Player A,0,0.0,2
H3_underperf,gemini,Player B,0,0.0,2
H3_underperf,gemini,Player C,0,0.0,2
H3_underperf,gemini,Player Star,0,0.0,2
