offense,defense,team,individual,condition_id,model_name,response_id
1,0,1,1,H1_pos,chatgpt,c8b81a3e-8e49-4da9-a1e2-6237db17de7f
1,1,1,1,H1_neg,chatgpt,59268dba-3312-4cea-85a8-16059740a5b3
1,0,1,1,H2_named,chatgpt,a3d19362-bd6f-487d-9a3d-167cf105b622
1,0,1,1,H2_anon,chatgpt,26c52b11-31d2-494c-bebd-979227e5137d
1,0,1,1,H3_neutral,chatgpt,dded45e1-4357-4fba-88c2-b0798bbb7a1d
1,0,1,1,H3_underperf,chatgpt,efb7decf-6b67-4645-b9b3-3f446928c905
1,1,1,1,H1_pos,claude,fe3ffe9c-569a-4786-9431-25de33a76fc7
1,1,1,1,H1_neg,claude,b98d3459-d2e8-4af4-aeec-8891238aad23
1,0,1,1,H2_named,claude,28fe6c92-9f4a-456f-b6f0-d6659129cc7f
1,0,1,1,H2_anon,claude,dd736c07-b40d-4dfd-b2fa-72d91ed2d053
1,0,1,1,H3_neutral,claude,05a2c9ae-2608-42c8-b276-4bb845c44ab3
1,1,1,1,H3_underperf,claude,22a308fb-25aa-4c22-9afe-5265f131863d
1,0,1,1,H1_pos,gemini,4fef0a51-49ed-48cb-a581-bd53642cccb7
1,1,1,1,H1_neg,gemini,d0f413f4-543b-44d4-a9d4-73ef8e698c47
1,0,1,1,H2_named,gemini,28675531-fae4-4511-a1e1-48cfb636f238
1,0,1,1,H2_anon,gemini,04171728-af3d-4f76-85dc-de77353f8fcb
1,1,1,0,H3_neutral,gemini,a7641630-50b2-48eb-b06f-d3a90d307e38
1,1,1,1,H3_underperf,gemini,888be560-95e9-4079-87e2-c1846c479962
1,0,1,1,H1_pos,chatgpt,7f4e13a9-1826-4d2b-9808-c8b7100ac5d8
1,1,1,1,H1_neg,chatgpt,ab74bab1-4a8b-4f13-9a0f-33d4961ce0ec
1,0,1,1,H2_named,chatgpt,421d59a9-330f-4180-8943-1114b86dbdaf
1,0,1,1,H2_anon,chatgpt,225a417d-5b8a-49bf-aa6b-64055d2d169d
1,0,1,1,H3_neutral,chatgpt,0f0d6c40-f4c9-49fd-b798-aee174c57ca5
1,1,1,1,H3_underperf,chatgpt,a257e3dd-fbf8-4def-9d20-9fea652f27b4
1,0,1,1,H1_pos,claude,7e168572-22a3-4331-b7ad-b98c31ce5b6d
1,1,1,1,H1_neg,claude,a4af2168-cc3e-4843-a40d-9a5c639d24d0
1,0,1,1,H2_named,claude,ac18277b-fcce-46ef-9b67-2be5691c5c7a
1,0,1,1,H2_anon,claude,a1f6aa5b-6002-4aa4-b214-3d9400f2464d
1,0,1,1,H3_neutral,claude,e1a215f4-6ba9-4935-bbbb-936aa73cfc7b
1,0,1,1,H3_underperf,claude,7554fe8b-a2ca-42df-985e-ef52e2cf648b
1,0,1,1,H1_pos,gemini,ce008881-0f42-40d2-9d5a-2ca2f1999388
1,1,1,1,H1_neg,gemini,33fed518-c5a8-4aa6-99b9-e2366253b110
1,0,1,1,H2_named,gemini,984b18c9-cea8-40c6-94d4-30fbddd568e3
1,0,1,1,H2_anon,gemini,44dba921-0cba-4572-9576-a0adf250111b
1,1,1,1,H3_neutral,gemini,71b10101-2ed9-4f0c-89ff-a9d902e0d41e
1,1,1,0,H3_underperf,gemini,7a5083e1-7ebb-478c-adb8-bc97ac8e231d
